id,slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
2507,lv-lovers,LV Lovers,https://www.etirsah.com/storage/photos/shares/etirler_en_son/LV-Lovers-Louis-Vuitton.jpg,,Kişi,55.00,105.00,170.00,Louis Vuitton,"berqamot, qalbanum","zəncəfil, günəş-notları","sidr, səndəl",https://www.etirsah.com/az/product/2507,Stokda Var
120,lyric,Lyric,https://www.etirsah.com/storage/photos/shares/etirler_en_son/lyricwoman.jpg,,Qadın,38.00,70.00,110.00,Amouage,"berqamot, darçın, hil, zəncəfil","ilanq-ilanq, jasmin, qızılgül, süsən-kökü, tütəkotu, ətirşah","ağac-notları, müşk, paçuli, palıd-mamırı, səndəl, tonka-lobyası, vanil, vetivera, büxur-ladan",https://www.etirsah.com/az/product/120,Stokda Var
1141,ananda,Ananda,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---ANANDA-FOR-WOMEN.jpg,,Qadın,20.00,35.00,55.00,M. Micallef,"armud, limon, gavalı, qara-qarağat","bənövşə, ilanq-ilanq, jasmin, mimoza, qızılgül","ağ-müşk, mimoza, vanil",https://www.etirsah.com/az/product/1141,Stokda Var
1142,aoud,Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---AOUD-FOR-MEN.jpg,,Kişi,32.00,55.00,90.00,M. Micallef,qızılgül,"darçın, hind-qozu, səndəl, zəfəran, aqar-ağacı-ud","bal, paçuli",https://www.etirsah.com/az/product/1142,Stokda Var
1144,royal-rose-aoud,Royal Rose Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---HARRODS-ROYAL-ROSE-AOUD-FOR-WOMEN.jpg,,Qadın,20.00,35.00,55.00,M. Micallef,"zəfəran, qara-qarağat","qızılgül, aqar-ağacı-ud","ağ-müşk, paçuli, səndəl",https://www.etirsah.com/az/product/1144,Stokda Var
1145,ylang-in-gold,Ylang in Gold,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/M.MICALLEF/M.MICALLEF---YLANG-IN-GOLD-FOR-WOMEN.jpg,,Qadın,20.00,35.00,55.00,M. Micallef,"acı-portağal, liçi, meyvə-notları, rozmarin, sürvə, yovşan-artemisia, ətirşah, tanqerin","ilanq-ilanq, maqnoliya, nanə, qızılgül, səndəl, inciçiçəyi","kokos, müşk, palıd-mamırı, vanil",https://www.etirsah.com/az/product/1145,Stokda Var
1146,replica-beach-walk,Replica Beach Walk,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MAISON%20MARTIN%20MARGIELA/MAISON-MARTIN-MARGIELA---REPLICA-BEACH-WALK-FOR-WOMEN.jpg,,Qadın,20.00,35.00,55.00,Maison Martin Margiela,"berqamot, çəhrayı-istiot, limon","ilanq-ilanq, geliotrop, kokos-südü","benzoin, müşk, sidr",https://www.etirsah.com/az/product/1146,Stokda Var
1147,replica-by-the-fireplace,Replica By the Fireplace,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MAISON%20MARTIN%20MARGIELA/MAISON-MARTIN-MARGIELA---REPLICA-BY-THE-FIREPLACE-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Maison Martin Margiela,"çəhrayı-istiot, mixək, portağal-çiçəyi","şabalıd, ardıc, qvayak-ağacı","vanil, peru-balzamı, kaşmeran",https://www.etirsah.com/az/product/1147,Stokda Var
1149,replica-jazz-club,Replica Jazz Club,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MAISON%20MARTIN%20MARGIELA/MAISON-MARTIN-MARGIELA---REPLICA-JAZZ-CLUB-FOR-MEN.jpg,,Kişi,20.00,35.00,55.00,Maison Martin Margiela,"çəhrayı-istiot, limon, neroli","müşk-sürvəsi-adaçayı, rom, vetivera","tütün, vanil, stiraks",https://www.etirsah.com/az/product/1149,Stokda Var
1151,aoud-lemon-mint,Aoud Lemon Mint,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---AOUD-LEMON-MINT-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Mancera,"badam, istiot, keşniş, limon, naringi-mandarin","paçuli, aqar-ağacı-ud, misir-jasmini","dəri, müşk, vanil, vetivera, ənbər",https://www.etirsah.com/az/product/1151,Stokda Var
1152,black-gold,Black Gold,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---BLACK-GOLD-FOR-MEN.jpg,,Kişi,20.00,35.00,55.00,Mancera,"darçın, hind-qozu, lavanda, sitrus, aqar-ağacı-ud","bənövşə, jasmin, qızılgül, paçuli-yarpağı, dəniz-notları","ağ-müşk, ağac-notları, dəri, vetivera, ənbər",https://www.etirsah.com/az/product/1152,Stokda Var
1153,black-intensitive-aoud,Black Intensitive Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---BLACK-INTENSIVE-AOUD-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Mancera,"acı-bibər, mixək, şaftalı","bənövşə, jasmin, qızılgül, şəkər, zəfəran","sidr, səndəl, aqar-ağacı-ud",https://www.etirsah.com/az/product/1153,Stokda Var
1154,black-line,Black Line,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---BLACK-LINE-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Mancera,ədviyyatlar,"dəri, paçuli, qızılgül, ənbər","ağ-müşk, səndəl, qvayak-ağacı",https://www.etirsah.com/az/product/1154,Stokda Var
1156,cedrat-boise,Cedrat Boise,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---CEDRAT-BOISE-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Mancera,"berqamot, limon, ədviyyatlı-notlar, qara-qarağat","meyvə-notları, suzanbağı, paçuli-yarpağı","ağ-müşk, dəri, sidr, səndəl, vanil, mamır",https://www.etirsah.com/az/product/1156,Stokda Var
1155,cedrat-boise,Cedrat Boise,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---CEDRAT-BOISE-FOR-UNISEX.jpg,,Unisex,32.00,55.00,90.00,Mancera,"berqamot, limon, ədviyyatlı-notlar, qara-qarağat","meyvə-notları, suzanbağı, paçuli-yarpağı","ağ-müşk, dəri, sidr, səndəl, vanil, mamır",https://www.etirsah.com/az/product/1155,Stokda Var
2064,gold-intensive-aoud,Gold Intensive Aoud,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---GOLD-INTENSIVE-AOUD-FOR-UNISEX.jpg,,Unisex,32.00,55.00,90.00,Mancera,"limon, su-notları","qızılgül, zəfəran, ətirşah, qvayak-ağacı, tik-ağacı","ağ-müşk, ağac-notları, boz-ənbər",https://www.etirsah.com/az/product/2064,Stokda Var
1159,hindu-kush,Hindu Kush,https://www.etirsah.com/storage/photos/shares/etirler_en_son/M%20brendleri/MANCERA/MANCERA---HINDU-KUSH-FOR-UNISEX.jpg,,Unisex,32.00,55.00,90.00,Mancera,"labdanum, ədviyyatlar, çətənə-kənaf-kannabis, büxur-ladan","ağac-notları, paçuli-yarpağı","ağ-müşk, vanil, ənbər, qvayak-ağacı",https://www.etirsah.com/az/product/1159,Stokda Var
