slug,png_url,status
"oakmoss-amber","https://perfoumer-cdn.vercel.app/perfumes/oakmoss-amber.png","404"
"oceania","https://perfoumer-cdn.vercel.app/perfumes/oceania.png","404"
"olympea-solar","https://perfoumer-cdn.vercel.app/perfumes/olympea-solar.png","404"
"orange-x-santal","https://perfoumer-cdn.vercel.app/perfumes/orange-x-santal.png","404"
"oud-nude","https://perfoumer-cdn.vercel.app/perfumes/oud-nude.png","404"
"oud-zarian","https://perfoumer-cdn.vercel.app/perfumes/oud-zarian.png","404"
"paddock","https://perfoumer-cdn.vercel.app/perfumes/paddock.png","404"
"parco-palladiano-iv-azalea","https://perfoumer-cdn.vercel.app/perfumes/parco-palladiano-iv-azalea.png","404"
"parco-palladiano-v-lauro","https://perfoumer-cdn.vercel.app/perfumes/parco-palladiano-v-lauro.png","404"
"patchouli-ink","https://perfoumer-cdn.vercel.app/perfumes/patchouli-ink.png","404"
"percival","https://perfoumer-cdn.vercel.app/perfumes/percival.png","404"
"perseus","https://perfoumer-cdn.vercel.app/perfumes/perseus.png","404"
"pi","https://perfoumer-cdn.vercel.app/perfumes/pi.png","404"
"pink-cucumber","https://perfoumer-cdn.vercel.app/perfumes/pink-cucumber.png","404"
"pisces","https://perfoumer-cdn.vercel.app/perfumes/pisces.png","404"
"power-self","https://perfoumer-cdn.vercel.app/perfumes/power-self.png","404"
"pur-santal","https://perfoumer-cdn.vercel.app/perfumes/pur-santal.png","404"
"purpose-50","https://perfoumer-cdn.vercel.app/perfumes/purpose-50.png","404"
"qafiya-3","https://perfoumer-cdn.vercel.app/perfumes/qafiya-3.png","404"
"raspberry-ripple","https://perfoumer-cdn.vercel.app/perfumes/raspberry-ripple.png","404"
"rose-magnolia-cologne","https://perfoumer-cdn.vercel.app/perfumes/rose-magnolia-cologne.png","404"
"rose-milano","https://perfoumer-cdn.vercel.app/perfumes/rose-milano.png","404"
"rose-oud","https://perfoumer-cdn.vercel.app/perfumes/rose-oud.png","404"
"rouge-trafalgar-esprit-de-parfum","https://perfoumer-cdn.vercel.app/perfumes/rouge-trafalgar-esprit-de-parfum.png","404"
"rumeur-2-rose","https://perfoumer-cdn.vercel.app/perfumes/rumeur-2-rose.png","404"
"sadonaso","https://perfoumer-cdn.vercel.app/perfumes/sadonaso.png","404"
"safran-musc","https://perfoumer-cdn.vercel.app/perfumes/safran-musc.png","404"
"santal-austral","https://perfoumer-cdn.vercel.app/perfumes/santal-austral.png","404"
"sedbury","https://perfoumer-cdn.vercel.app/perfumes/sedbury.png","404"
"sellier","https://perfoumer-cdn.vercel.app/perfumes/sellier.png","404"
"shagya","https://perfoumer-cdn.vercel.app/perfumes/shagya.png","404"
"si-intense","https://perfoumer-cdn.vercel.app/perfumes/si-intense.png","404"
"silk-blossom-cologne","https://perfoumer-cdn.vercel.app/perfumes/silk-blossom-cologne.png","404"
"smoking-hot","https://perfoumer-cdn.vercel.app/perfumes/smoking-hot.png","404"
"society-extreme","https://perfoumer-cdn.vercel.app/perfumes/society-extreme.png","404"
"soleil-blanc","https://perfoumer-cdn.vercel.app/perfumes/soleil-blanc.png","404"
"spell-on-you","https://perfoumer-cdn.vercel.app/perfumes/spell-on-you.png","404"
